arg1,arg2,word,sentence,verb_idx,label
должный,,архитектор,1 Архитектор должен стать инженером так как экономическое состояние страны не допускает роскоши красивых решений а требует наиболее дешевых и потому лишенных всяких элементов роскоши красоты методов строительства 2 Задача архитектора украшать декорировать конструктивные схемы разработанные инженером но это требует дополнительных средств которые в настоящее время неоткуда взять Оба эти мнения как указал А В Щусев беспочвенны ,1 ,0
должный,,архитектор,1 Была профессионально счастливая неделя очень много сильных впечатлений И от феноменальной артистичности французского дизайнера Филиппа Старка и от мудрых речей архитектора Питера Кука и от выставки японского фотографа Араки Кук держится классическим английским джентльменом ,1 ,0
должный,,архитектор,1 го Петропавловскую крепость как последнее свидетельство деспотизма постановлено срыть и заменить по проекту архитектора Манилова Пантеоном русских республиканцев У входных дверей статуи Марфы Посадницы и Петрункевича ,1 ,0
должный,,архитектор,1 Летом 1945 года вскоре после окончания войны П Л Капица вместе с архитектором Б М Иофаном и историком искусства Н И Бруновым совершает поездку во Владимир и Суздаль а вслед за этим направляет письмо секретарю ЦК ВКП б Г М Маленкову с целью спасти замечательные памятники архитектуры и искусства которым грозит гибель Письмо имеет несколько торжественное название что по-видимому призвано подчеркнуть его исключительную важность и выделить из разряда повседневной корреспонденции ,1 ,0
французский,,архитектор,1 октября 1912 года родился этнограф историк философ автор теории этногенеза Лев Гумилев 1 октября 1927 года родился актер театра и кино режиссер Олег Ефремов 1 октября 1992 года в отделениях Сбербанка РФ началась выдача населению приватизационных чеков 2 октября 1987 года вышла в эфир программа Взгляд 3 октября 1895 года родился поэт Сергей Есенин 3 октября 1935 года родился актер театра и кино Армен Джигарханян 4 октября 1582 года юлианский календарь исправлен и переименован в григорианский 4 октября 1907 года в Петербурге совершил первый рейс омнибус-мото р 4 октября 2001 года украинская ракета С 200 сбила пассажирский авиалайнер Ту 154 следовавший по маршруту Тель-Авив-Новосибирск 6 октября 1876 года родился французский архитектор Шарль Эдуар Ле Корбюзье 7 октября 1952 года родился президент России Владимир Путин 7 октября 1977 года в СССР принята четвертая Конституция Вечерний звонок Армену Джигарханяну ,1 ,0
мастерский,,архитектор,20 марта Утром заехала в мастерскую архитектора Ираклия Мосешвили близкого друга художника Владимира Яковлева Он и его жена Тамара очень чтут Ерофеева как писателя и не прочь подарить ему замечательную Яковлевскую гуашь одинокий цветок в громадном пустынном поле ,1 ,0
мастерский,,архитектор,20 января в Московском союзе советских художников состоялся вечер посвященный 80 летию со дня рождения В А Серова В переполненном зале члены семьи художника виднейшие советские живописцы ученики Серова скульпторы архитекторы артисты Вечер открыл народный художник РСФСР С Герасимов охарактеризовавший Серова как глубоко принципиального необыкновенно цельного художника которому всегда было присуще высокое чувство национальной гордости ,1 ,0
мастерский,,архитектор,22 сентября 1767 года день коронации Екатерины камень был торжественно провезен мимо Зимнего дворца и на другой день судно причалило благополучно к берегу отстоящему на 21 сажен от назначенного места для памятника В июне 1769 года прибывший из заграницы архитектор Фальконет окончил гипсовую модель памятника Голову всадника сделала приехавшая француженка девица Коллот ,1 ,0
мастерский,,архитектор,259 писем и 440 купонов в поддержку акции 14 человек выступили против демонтажа памятника Петру архитектора Церетели Выступая за сохранение памятника эти читатели упрекают нас в том что мы собираем голоса москвичей за демонтаж памятника и добиваемся референдума ,1 ,0
мастерский,,архитектор,29 Его величество взявши с собою прибывшаго из Парижа в службу принятаго архитектора Леблонда при котором случае по повелению его находился и Нартов поехал в шлюбке на Васильевской остров который довольно был уже выстроен и каналы были прорыты Обходя сей остров и показывая архитектору план спрашивал что притом еще делать надлежит ,1 ,0
муниципальный,,архитектор,2 и частного Моспроекта 1 не удается На каждом своем съезде архитекторы подчеркивают что их разделение на частнопрактикующих предпринимателей и муниципальных служащих некорректно поскольку они заняты одним делом Заявление абсурдное в рамках капиталистической экономики где муниципальный архитектор это госслужащий занятый совершенно иной работой чем частник ,1 ,0
единственный,датский,архитектор,300 лет назад 7 августа 1703 года в Архангельск прибыл Доменико Трезини 1670 1734 будущий первый архитектор и строитель Петербурга подписавший в Дании уговор на службу в России сроком на год Выходец из родовитой итальянской дворянской семьи переселившейся в Южную Швейцарию на протяжении десяти лет единственный архитектор при датском дворе Трезини по зову Петра отдал его городу три десятилетия своей жизни ,1 ,0
единственный,,архитектор,33 года Он архитектор жена тоже Нормально зарабатывают ,2 ,1
русский,,архитектор,38 Короткий военный мундир 41 Русский архитектор автор дворцов А Меншикова 42 Легендарный брат Рюрика ,1 ,0
советский,,архитектор,3 марта в Центральном доме архитектора открылось всесоюзное совещание по деревянному заводскому домостроению созванное Комитетом по делам архитектуры при Совете Министров СССР Союзом советских архитекторов СССР и Академией архитектуры СССР В работах совещания принимают участие архитекторы представители проектных организаций министерств и ведомств инженеры конструкторы технологи домостроительных комбинатов Совещание открыл ответственный секретарь Союза советских архитекторов СССР К Алабян ,1 ,0
советский,,архитектор,3 Удаление из деталей материала не несущего статической нагрузки создают в конечном итоге самолет облеченный в известные всем красивые и изящные формы архитектор внимание вот метод функционального мышления Если просмотреть эволюцию формы самолета от первых его конструкций в период зарождения авиации в 1909 10 гг по наше время то с эстетической точки зрения преимущество останется за современным типом самолета ,1 ,0
парижский,,архитектор,400 летний юбилей нумерации домов Парижские газеты отмечают что в 1512 году один парижский архитектор перенумеровал в одном квартале 70 земельных участков находившихся в нем причем эти номера присвоены были и домам построенным на некоторых из участков Долгое время эти недвижимости представляли собою нечто исключительное и случайное и только в веке нумерация недвижимостей и домов была признана целесообразной и даже необходимой во всяком мало-мальски благоустроенном городе или местечке а с течением времени распространена была на села и деревни ,1 ,0
парижский,,архитектор,4 этажных пристроях к основному объему зданий разместятся предприятия торговли Предлагая снижение высоты отдельных фрагментов новых зданий архитекторы стремились ввести на бульваре более комфортный для пешеходов человеческий ,1 ,0
районный,,архитектор,5.66 Окраску каменных оштукатуренных крупноблочных и крупнопанельных необлицованных поверхностей фасадов следует выполнять перхлорвиниловыми цементно-перхлорвиниловыми силикатными и другими атмосфероустойчивыми красками по согласованию с генеральным проектировщиком а в случае расположения здания в черте города колер окраски следует согласовывать с городским районным архитектором 5.67 ,1 ,0
районный,,архитектор,80 лет существует Одесское художественное училище Здесь учились известные художники и архитекторы Костанди Греков Бродский Шовкуненко Петр Васильев академик Иофан и многие другие Сейчас училище быстро восстанавливается уже работают живописное скульптурное и керамичное отделения ,1 ,0
районный,,архитектор,8 Какие проекты коллег произвели на вас самое большое впечатление в последнее время Меня неизменно впечатляют работы архитектора Карлоса Отта автора Оперы на площади Бастилии в Париже Это новаторская архитектура что бы он ни строил гостиницу в Дубае театр в Париже или офисное здание в Торонто ,1 ,0
районный,заводяной,архитектор,8 Розы плетистые Представленные проекты выполнили архитекторы Заводяная Н С Савчук Е А Гизатуллина О А дендролог Иванова О А Водный сад ,1 ,0
районный,вырастить,архитектор,лат буквально Звездная поляна Чуть позже там была воздвигнута часовня которая со временем трудами не одного поколения архитекторов выросла до размеров нынешнего собора Святого Иакова Но оптимистам тут же возражают пессимисты и у них разумеется есть на то свои основания ,1 ,0
американский,,архитектор,Известный американский архитектор Адам Д Тиани поженил строгую чистоту стекла с блеском серебра Построил посуду как город будущего где линии материалы и формы совершенны ,2 ,1
американский,,архитектор,РЕШЕНИЕ СЪЕЗДА СОЮЗА АРХИТЕКТОРОВ РОССИИ ПЕЧАТАЕТСЯ В СОКРАЩЕНИИ ,2 ,1
американский,саудовский,архитектор,с розовыми и желтыми цветками Территории обустроенные архитекторами из Саудовской Аравии Кувейта и Арабских Эмиратов несмотря на чисто восточную пышность выглядят стильно и современно ,1 ,0
американский,,архитектор,построен в половине шестого века здание огромное и заслуживающее примечания сколько искусством древних архитекторов столько и наблюдаемым внутри оного порядком в рассуждении великого числа больных Меня впустили смотреть их в тот час когда сестры милосердия больным женщинам служащие обносили им кушанье ,1 ,0
немецкий,,архитектор,1926 Настоящая книга представляет собой великолепно изданный альбом большого формата с 77 репродукциями городских ансамблей Нью-Йорка Чикаго Буффало и др городов С А Соединенных Штатов заснятых известным немецким архитектором Эрихом Мендельсоном во время его последнего путешествия по Америке Текст сводится к небольшому предисловию в 4 странички и к кратким пояснениям иллюстраций ,2 ,1
частнопрактикующий,мастерский,архитектор,Частные архитекторы и мастерские звезды и созвездия Вам наверняка будут встречаться как частнопрактикующие архитекторы так и те кто работает в архитектурных мастерских ,1 ,0
частнопрактикующий,,архитектор,А-а Вечером архитектор Шмуро сидел перед Кириллом Михеичем в кабинете Шоркая широкими ступнями по крашеному полу он вразумительно говорил ,1 ,0
искусный,сам,архитектор,Абрам Иванович был рослый полный и красивый мужчина По рассказам о нем я знаю что он был искусным архитектором им самим и по чертежам его по всей России построено много церквей и домов Самого же его я почти совсем не знала хоть и встречалась с ним часто у Мартосов но он с женщинами никогда не разговаривал ,1 ,0
искусный,,архитектор,А бурный видимо потому что за долгие годы разговоров ситуация остается неизменной только вот истинных памятников все меньше и меньше Так в конце минувшей недели столичный клуб архитекторов провел круглый стол Москва сносить или не сносить где всерьез дебатировался вопрос о введении в стране архитектурной полиции ,1 ,0
известный,,архитектор,А ведь могла бы ещё жить здесь между Мясницкой и Маросейкой долго-долго как живут в центре Лондона или Тель-Авива где не выселяют принудительно со своих мест Дом мой в Армянском построил в 1874 году известный архитектор А Е Вебер специально для жилья для сдачи внаём Снимали здесь и целые этажи и комнаты под лестницей у кого какие доходы ,1 ,0
главный,реставрационный,архитектор,А в начале июля десантная бригада 11 человек выехала на полуостров Заонежье в деревню Мунозеро чтобы разобрать и подготовить к перевозке на Кижи памятник народного зодчества дом Сергиной Ввиду важности объекта с бригадой ехали консультант по архитектуре московский архитектор А В Ополовников главный архитектор реставрационной мастерской которая ведет работы на Кижах Б С Марков и другие Итак 4 июля 1971 года в 14 часов мы выехали из поселка Великая Губа в глубь полуострова Заонежье ,1 ,0
главный,,архитектор,А внешний вид новых станций Спросите у архитекторов или дизайнеров художников-конструкторов какое слово приходится произносить им чаще всего в чем узел тревог проектировщика Знаменитая ФУНКЦИОНАЛЬНОСТЬ ,1 ,0
главный,,архитектор,А в нижеозначенных годах по имянным Вашего Императорского Величества всевысочайшим указам всемилостивейше жалуем был он Баженов в 1776 ом году декабря 2 го главной артиллерии архитектором с чином артиллерийского Капитана в 1779 ом Генваря 16 го надворным Советником а в 1784 ом году марта 13 го дня Коллежским Советником со оставлением при прежних местах и должностях Какия же в бытность его в чужих краях даны были ему от королевских в Париже и других местах Архитекторов и членов Академий одобрительные аттестаты которыми весьма похвальстве в отличном знании архитектуры способности к рисованию и неутомимой ревности к достижению совершенства архитектурнаго также дипломы и патенты с оных приложил копии Из коих по некоторым а именно по диплому данному от Римской Академии Святаго Луки по патентам Клементинской Болонской и Флоренцкой Академий удостоен был принятием в сии места в число почетных академиков и свер ,1 ,0
главный,,архитектор,А в нижней части барабана и сейчас искрятся на солнце ромбы изразцов многоцветной лентой опоясавших основание главы венчающей церковь Покрова Ликующий праздник красок и форм Василия Блаженного гораздо легче понять если помнить что и заказчикам и архитекторам и строителям он мнился прежде всего как мемориальное сооружение Надо было создать достойный памятник в честь окончательной победы над вековым врагом на восточных рубежах русских земель ,1 ,0
главный,,архитектор,а Воробьевых горах или в Петровском парке Сюда в древнюю столицу переехали бы многие из поступивших на русскую службу иностранцев архитекторов и строителей художников и скульпторов вместе со своими российскими коллегами создавших знакомый нам волшебный Петербург Не нужно забывать что к концу 1720 х годов в городе на Неве была построена лишь очень малая часть того что ныне составляет его неповторимый облик ,1 ,0
необходимый,,архитектор,А в основе ее лежит патрон единый на весь мир все остальное зависит от фантазии Вот такой патрон необходим архитекторам надо свести и минимуму элементы для сборки домов это бесспорно ускорит и удешевит строительство и не ухудшит архитектуру Трудно не согласиться ,1 ,0
общий,,архитектор,А вот архитектора при желании в нашем городе физиков и художников вполне можно найти Он поможет вам подобрать соответствующие вашим замыслам материалы ибо архитектор тут специалист и держит нос по ветру изобрести новый дизайн и перепланировку утомившей вас многолетним однообразием комнаты квартиры правильно поделить квартиру-дом-дачу на зоны и многое другое В общем архитектор знает правильный подход к перепланировке и если есть возможность с ним проконсультироваться лучше этой возможностью не пренебрегать ,1 ,0
общий,,архитектор,А вот архитекторов нет строить не умеем Учись на архитектора Тогда получим некоторое равновесие один брат строит другой разрушает а мне подрядчику выгода ,1 ,0
общий,,архитектор,А вот бесчеловечное социальное жилье это реальные французские дома-микрорайоны точнее Паласио д’Aбраксас мрачный жилой комплекс на 600 квартир построенный в 1984 году в парижском пригороде Марн-ла-Валле Заявленный архитектором Рикардо Бофиллом как монументальный неоклассический город-дом Версаль для простых людей Дворец оказался пародией и на классицизм и на конструктивизм и на социальность На самом деле планировка комплекса вызывающе асоциальна он стоит посреди чистого поля как высотки в московском Ясеневе с внешним миром его соединяет только электричка ,1 ,0
общий,,архитектор,А вот здание политически-важного Института стран арабского мира созданное архитектором не только стало парижской достопримечательностью но и произвело в архитектурном мире настоящий фурор ,1 ,0
общий,,архитектор,А вот наш Семен Семеныч так неисправим сказал Судьбинский только мастер пыль в глаза пускать Недавно что он сделал из губерний поступило представление о возведении при зданиях принадлежащих нашему ведомству собачьих конур для сбережения казенного имущества от расхищения наш архитектор человек дельный знающий и честный составил очень умеренную смету вдруг показалась ему велика и давай наводить справки что может стоить постройка собачьей конуры Нашел где-то тридцатью копейками меньше сейчас докладную записку ,1 ,0
общий,,архитектор,А вот это говорит он указывая на своего спутника министр всех ольговских построек и верховный учредитель всех наших празднеств Я поняла что это архитектор очень этому обрадовалась и тотчас стала рассказывать что за пять минут до их приезда я не знала что мне делать с моею колокольней и к кому обратиться за советом Ну вот как это хорошо засмеялся Апраксин вы только подумали а мы и подслушали и приехали ,2 ,1
московский,,архитектор,А вскоре после этого разговора позвон ил Борис Соломонович Виленский муж маминой сестры известный московский архитектор и попросил меня приехать За чаем он говорил о неоспоримых достоинствах профессии строителя и рекомендовал подать документы в Мосгорисполкомовский институт где ко мне не будут придираться так как он кое-кого из своих друзей предупредит обо мне ,2 ,1
известный,,архитектор,Автором сооружения которое в народе оставило за собою название на крылечке или просто крылечко стал известный архитектор И Л Бенуа В память о событии в монастыре установился обычай ежегодно 1 февраля по старому стилю совершать торжества в честь Тихвинской иконы с крестным ходом по ,1 ,0
известный,,архитектор,Авторский коллектив Киевского Богдана Хмельницкого пешеходного моста архитекторы ак арх Ю Платонов руководитель проекта ак арх А Кузьмин Д Метаньев И Дианова-Клокова А Тасалов инженеры Е Гапонцев А Колчин Д Лабузов Авторский коллектив площади Европы Ю Платонов ,1 ,0
известный,,архитектор,Авторский коллектив площади Европы Ю Платонов руководитель архитекторы ак арх А Кузьмин Д Метаньев И Дианова-Клокова А Тасалов М Лазарев скульптор Оливье Стребель Бельгия инженеры ак В Траву В Акимов М Черняк ,1 ,0
известный,,архитектор,авторском праве и системы лицензирования аттестации Все эти документы будут предложены организациям САР в качестве методики для решения проблем правовой защиты архитекторов и архитектуры в регионах Консолидация это сегодня ,1 ,0
какой,,архитектор,Авторы книги рассказывают об истории основной части проспекта от Адмиралтейства до площади Восстания Согласно нумерации на этой трехкилометровой дистанции расположено ровно сто домов и о каждом из них книга дает исчерпывающую информацию когда и для кого построено здание по проекту какого архитектора кто проживал в данном доме Читатели узнают о магазинах и учреждениях располагавшихся на Невском ,1 ,0
какой,который,архитектор,Ага вспомнила подошла к ней сердитая тетка стала выспрашивать не покрадет ли Аля гусей сказала что ходят тут всякие смотрят а потом землю покупают Да вспомнила Аля так и сказала ваши москали приезжают землю нашу покупают и про архитектора который купил потому что говорит Крым на Испанию похож Так и возникло майским вечером у распахнутого окна под соловьиные трели это слово Испания с волшебной непредсказуемостью смешав в себе тайну случая тайну пространства еще какие-то неведомые тайны ,2 ,1
какой,,архитектор,агенты Петра привлекали на русскую службу иностранных специалистов Но уже не только кораблестроителей и инженеров но и архитекторов художников скульпторов ученых 7 ,1 ,0
какой,,архитектор,Адам и Ева есть мечеть увенчанная надписью Аллах и его сады наслаждений Известный испанский промышленник Эусебио Гуэль попросил в 1898 году архитектора Антонио Гауди спроектировать и построить парк на его земле неподалеку от Барселоны ,1 ,0
какой,,архитектор,А домкратами его поднять нельзя донимал архитектора Павел Николаевич Дело не в этом грустно чесал дурацкую бородку а-ля Михаил Калинин архитектор Тут профессионалы нужны нашим не сделать ,2 ,1
какой,,архитектор,А его хозяевам людям молодым и жизнерадостным очень хотелось жить с легким ощущением постоянного праздника Результат работы архитектора Светланы Гулиной превзошел все ожидания Благодаря тщательно продуманной перепланировке и правильно подобранному цветовому решению стен жилое пространство дома увеличилось он стал просторнее и светлее ,1 ,0
какой,,архитектор,ает расположение промышленности по отношению к жилым районам с тем чтобы главные господствующие ветры относили от них дым и копоть вылетающие из фабрично-заводских труб Поэтому архитектор всегда стремится расположить жилье с подветренной стороны и на некотором расстоянии от промышленных предприятий Наряду с функциональным и строительным зонированием городской территории решаются также и инженерные вопросы водоснабжения канализации энергоснабжения организации внутренних транспортных связей внешнего транспорта и инженерной подготовки территории ,1 ,0
ландшафтный,,архитектор,А еще в галерее Тушино с 12 по 21 декабря демонстрируются рождественские экспозиции из живых цветов голландского флориста Йохана Лешье и крупнейшей московской флористической фирмы Планета Планта участвующей в оформлении всех мероприятий Кремлевского Дворца Рождества без цветов не бывает считают в Ассоциации ландшафтных архитекторов и приглашают в ЦДХ на выставку Цветы к Рождеству Такая выставка проводится уже третий год и по опыту прошлых лет известно что на ней можно будет приобрести уникальные комнатные растения и живые срезанные цветы по сравнительно низким ценам а также проконсультироваться с профессионалами ,1 ,0
ландшафтный,,архитектор,А заказчик от него требует чего-нибудь эдакого в псевдорусском стиле Архитектор зная что проект его будет претворен в жизнь морщится но заказ исполняет А Аввакумов не морщитс ,1 ,0
